Date,Actual,Predicted,pred_diff,actual_diff,signal
2024-08-20,225.2423553466797,224.80061151087284,0.1748028,-0.15911865,0
2024-08-21,225.1329498291016,225.41444166004658,0.17208631,0.61654663,0
2024-08-22,223.2734375,225.30396147072318,0.17101164,-0.10940552,0
2024-08-23,225.57049560546875,223.44616681337357,0.17272931,-1.8595123,0
2024-08-26,225.9085998535156,225.7435523569584,0.17305675,2.297058,0
2024-08-27,226.75384521484372,226.08182339370248,0.17322354,0.33810425,0
2024-08-28,225.2224578857422,226.92744664847848,0.17360143,0.84524536,0
2024-08-29,228.5039825439453,225.39157077670097,0.16911289,-1.5313873,0
2024-08-30,227.7184295654297,228.663101375103,0.15911883,3.2815247,0
2024-09-03,221.52328491210935,227.86879381537437,0.15036425,-0.785553,0
2024-09-04,219.61404418945312,221.65380237996575,0.13051747,-6.1951447,0
2024-09-05,221.13548278808597,219.74562127888203,0.13157709,-1.9092407,0
2024-09-06,219.58421325683597,221.2637605071068,0.12827772,1.5214386,0
2024-09-09,219.6737060546875,219.71274459362033,0.12853134,-1.5512695,0
2024-09-10,218.878173828125,219.80710646510124,0.13340041,0.0894928,0
2024-09-11,221.41390991210935,219.02251133322716,0.1443375,-0.7955322,0
2024-09-12,221.52328491210935,221.5694926381111,0.15558273,2.535736,0
2024-09-13,221.25477600097656,221.69056931138036,0.1672844,0.109375,0
2024-09-16,215.10939025878903,221.43311263620853,0.17833664,-0.2685089,0
2024-09-17,215.57672119140625,215.29491877555844,0.18552852,-6.145386,0
2024-09-18,219.4549102783203,215.7690357863903,0.1923146,0.46733093,0
2024-09-19,227.58914184570312,219.6546623557806,0.19975208,3.878189,0
2024-09-20,226.92288208007807,227.80033200979233,0.21119016,8.134232,0
2024-09-23,225.20257568359372,227.15018898248667,0.2273069,-0.66625977,0
2024-09-24,226.09751892089844,225.44542971253392,0.24285403,-1.7203064,0
2024-09-25,225.10313415527344,226.3599515557289,0.26243263,0.89494324,0
2024-09-26,226.2467041015625,225.38215452432632,0.27902037,-0.99438477,0
2024-09-27,226.5151824951172,226.53365004062653,0.28694594,1.14357,0
2024-09-30,231.696044921875,226.7993712425232,0.28418875,0.2684784,0
2024-10-01,224.94403076171875,231.96876049041748,0.27271557,5.1808624,0
2024-10-02,225.51084899902344,225.20606163144112,0.26203087,-6.752014,0
2024-10-03,224.40704345703125,225.7663629949093,0.255514,0.56681824,0
2024-10-04,225.53073120117188,224.6560862660408,0.24904281,-1.1038055,0
2024-10-07,220.4493408203125,225.7733302861452,0.24259908,1.1236877,0
2024-10-08,224.50650024414065,220.68535313010216,0.23601231,-5.0813904,0
2024-10-09,228.25538635253903,224.73120155930522,0.22470132,4.0571594,0
2024-10-10,227.75819396972656,228.4770110696554,0.22162472,3.748886,0
2024-10-11,226.2765350341797,227.9785463064909,0.22035234,-0.49719238,0
2024-10-14,230.00555419921875,226.4957158267498,0.2191808,-1.481659,0
2024-10-15,232.54129028320312,230.2198002487421,0.21424605,3.7290192,0
2024-10-16,230.48284912109372,232.74684047698975,0.2055502,2.535736,0
2024-10-17,230.8507843017578,230.67990057170388,0.19705145,-2.0584412,0
2024-10-18,233.68484497070312,231.03795728087425,0.18717298,0.36793518,0
2024-10-21,235.15655517578125,233.8625236749649,0.1776787,2.8340607,0
2024-10-22,234.54000854492188,235.30785383284092,0.15129866,1.4717102,0
2024-10-23,229.46856689453125,234.69220151007175,0.15219297,-0.61654663,0
2024-10-24,229.27963256835935,229.62142618000507,0.15285929,-5.071441,0
2024-10-25,230.11492919921875,229.4368607997894,0.15722823,-0.18893433,0
2024-10-28,232.09378051757807,230.27759712934494,0.16266793,0.8352967,0
2024-10-29,232.3622894287109,232.25918498635286,0.16540447,1.9788513,0
2024-10-30,228.812255859375,232.52841524779794,0.16612582,0.2685089,0
2024-10-31,224.6457061767578,228.98221039772034,0.16995454,-3.5500336,0
2024-11-01,221.66249084472656,224.81964902579784,0.17394285,-4.1665497,0
2024-11-04,220.76751708984372,221.84047344326973,0.1779826,-2.9832156,0
2024-11-05,222.199462890625,220.94563056528565,0.17811348,-0.89497375,0
2024-11-06,221.47357177734372,222.38242302834988,0.18296014,1.4319458,0
2024-11-07,226.20692443847656,221.6613925695419,0.18782079,-0.72589105,0
2024-11-08,225.9381256103516,226.40027111768723,0.19334668,4.7333527,0
2024-11-11,223.22042846679688,226.14108425378802,0.20295864,-0.26879883,0
2024-11-12,223.22042846679688,223.42757979035378,0.20715132,-2.7176971,0
2024-11-13,224.10641479492188,223.42661421000957,0.20618574,0.0,0
2024-11-14,227.1924591064453,224.30729196965694,0.20087717,0.8859863,0
2024-11-15,223.9869537353516,227.39759920537472,0.2051401,3.0860443,0
2024-11-18,226.99337768554688,224.19427010416987,0.20731637,-3.2055054,0
2024-11-19,227.25218200683597,227.1981105208397,0.20473284,3.006424,0
2024-11-20,227.96896362304688,227.45994883775714,0.20776683,0.25880432,0
2024-11-21,227.4911346435547,228.17934593558311,0.21038231,0.7167816,0
2024-11-22,228.83502197265625,227.7053178548813,0.21418321,-0.47782898,0
2024-11-25,231.82151794433597,229.0534581542015,0.21843618,1.3438873,0
2024-11-26,234.00167846679688,232.04181113839152,0.2202932,2.9864957,0
2024-11-27,233.8722381591797,234.2230190038681,0.22134054,2.1801605,0
2024-11-29,236.26144409179688,234.09618359804153,0.22394544,-0.12944031,0
2024-12-02,238.5112762451172,236.48513433337212,0.22369024,2.389206,0
2024-12-03,241.5574951171875,238.7314805984497,0.22020435,2.2498322,0
