Date,Close,SMA50,SMA200,signalSMA,strategy_ret
2018-10-16,2809.919921875,2873.8883935546874,2767.173699951172,0,0.0
2018-10-17,2809.2099609375,2872.90359375,2767.7406994628905,0,-0.0
2018-10-18,2768.780029296875,2871.1251953125,2768.0192993164064,0,-0.0
2018-10-19,2767.780029296875,2869.4091943359376,2768.2382495117185,0,-0.0
2018-10-22,2755.8798828125,2867.86119140625,2768.3018994140625,0,-0.0
2018-10-23,2740.68994140625,2866.2363916015624,2768.2667993164064,0,-0.0
2018-10-24,2656.10009765625,2862.5591943359377,2767.790849609375,0,-0.0
2018-10-25,2705.570068359375,2860.303193359375,2767.577550048828,0,0.0
2018-10-26,2658.68994140625,2856.663193359375,2767.0331994628905,0,-0.0
2018-10-29,2641.25,2852.485595703125,2766.3082495117187,0,-0.0
2018-10-30,2682.6298828125,2848.9971923828125,2765.839299316406,0,0.0
2018-10-31,2711.739990234375,2845.97279296875,2765.3851989746095,0,0.0
2018-11-01,2740.3701171875,2843.5437939453127,2765.0968994140626,0,0.0
2018-11-02,2723.06005859375,2840.8653955078125,2764.6606994628905,0,-0.0
2018-11-05,2738.31005859375,2838.1377978515625,2764.1873999023437,0,0.0
2018-11-06,2755.449951171875,2835.3119970703124,2763.7690002441404,0,0.0
2018-11-07,2813.889892578125,2833.63939453125,2763.650749511719,0,0.0
2018-11-08,2806.830078125,2831.4951953125,2763.4886499023437,0,-0.0
2018-11-09,2781.010009765625,2829.0927978515624,2763.0293493652343,0,-0.0
2018-11-12,2726.219970703125,2825.586796875,2762.3927990722655,0,-0.0
2018-11-13,2722.179931640625,2822.09599609375,2761.8915490722657,0,-0.0
2018-11-14,2701.580078125,2818.355595703125,2761.280399169922,0,-0.0
2018-11-15,2730.199951171875,2815.39859375,2760.8214990234374,0,0.0
2018-11-16,2736.27001953125,2812.6903955078124,2760.6921997070312,0,0.0
2018-11-19,2690.72998046875,2808.9623974609376,2760.9011499023436,0,-0.0
2018-11-20,2641.889892578125,2804.0423974609375,2760.634899902344,0,-0.0
2018-11-21,2649.929931640625,2799.26259765625,2760.47625,0,0.0
2018-11-23,2632.56005859375,2793.8302001953125,2760.7340502929687,0,-0.0
2018-11-26,2673.449951171875,2789.199599609375,2761.0035498046873,0,0.0
2018-11-27,2682.169921875,2785.0669970703125,2761.1343994140625,0,0.0
2018-11-28,2743.7900390625,2781.8565966796873,2761.538649902344,0,0.0
2018-11-29,2737.800048828125,2778.4535986328124,2761.734500732422,0,-0.0
2018-11-30,2760.169921875,2775.0419970703124,2761.8793505859376,0,0.0
2018-12-03,2790.3701171875,2772.2560009765625,2762.1701013183592,1,0.0
2018-12-04,2700.06005859375,2767.8697998046873,2762.0891015625,0,-0.03236490314939877
2018-12-06,2695.949951171875,2763.47759765625,2762.0622009277345,0,-0.0
2018-12-07,2633.080078125,2758.0197998046874,2761.7078015136717,0,-0.0
2018-12-10,2637.719970703125,2752.49419921875,2761.159901123047,0,0.0
2018-12-11,2636.780029296875,2746.9502001953124,2760.44580078125,0,-0.0
2018-12-12,2651.070068359375,2741.4797998046874,2759.9797509765626,0,0.0
2018-12-13,2650.5400390625,2736.022001953125,2759.66330078125,0,-0.0
2018-12-14,2599.949951171875,2729.51080078125,2759.2747009277346,0,-0.0
2018-12-17,2545.93994140625,2722.3973974609376,2758.5481506347655,0,-0.0
2018-12-18,2546.159912109375,2715.6091943359374,2757.6742504882814,0,0.0
2018-12-19,2506.9599609375,2708.059794921875,2756.568449707031,0,-0.0
2018-12-20,2467.419921875,2699.8013916015625,2755.2715490722658,0,-0.0
2018-12-21,2416.6201171875,2692.4201953125,2753.6597998046873,0,-0.0
2018-12-24,2351.10009765625,2684.874794921875,2751.482449951172,0,-0.0
2018-12-26,2467.699951171875,2678.8861962890624,2749.905849609375,0,0.0
2018-12-27,2488.830078125,2673.6469970703124,2748.5234497070314,0,0.0
2018-12-28,2485.739990234375,2667.1633984375,2747.204749755859,0,-0.0
2018-12-31,2506.85009765625,2661.116201171875,2746.0023498535156,0,0.0
2019-01-02,2510.030029296875,2655.941201171875,2744.792449951172,0,0.0
2019-01-03,2447.889892578125,2649.5433984375,2743.4672998046876,0,-0.0
2019-01-04,2531.93994140625,2645.064599609375,2742.5422998046874,0,0.0
2019-01-07,2549.68994140625,2641.244599609375,2741.731099853516,0,0.0
2019-01-08,2574.409912109375,2639.6107958984376,2741.3846997070314,0,0.0
2019-01-09,2584.9599609375,2637.19859375,2741.3681994628905,0,0.0
2019-01-10,2596.639892578125,2635.9575927734377,2741.0586486816405,0,0.0
2019-01-11,2596.260009765625,2635.05779296875,2740.9768481445312,0,-0.0
2019-01-14,2582.610107421875,2633.0573974609374,2740.8648986816406,0,-0.0
2019-01-15,2610.300048828125,2631.0285986328126,2740.712048339844,0,0.0
2019-01-16,2616.10009765625,2628.5431982421874,2740.8831494140627,0,0.0
2019-01-17,2635.9599609375,2626.8011962890623,2740.9906994628905,0,0.0
2019-01-18,2670.7099609375,2625.4491943359376,2741.120799560547,0,0.0
2019-01-22,2632.89990234375,2622.998193359375,2740.9710986328123,0,-0.0
2019-01-23,2638.699951171875,2619.49439453125,2741.1422485351563,0,0.0
2019-01-24,2642.330078125,2616.20439453125,2741.2880993652343,0,0.0
2019-01-25,2664.760009765625,2613.87939453125,2741.327548828125,0,0.0
2019-01-28,2643.85009765625,2612.2319970703124,2741.335849609375,0,-0.0
2019-01-29,2640.0,2610.5883984375,2741.215899658203,0,-0.0
2019-01-30,2681.050048828125,2610.1777978515624,2741.339649658203,0,0.0
2019-01-31,2704.10009765625,2609.65580078125,2741.470949707031,0,0.0
2019-02-01,2706.530029296875,2609.0610009765624,2741.471650390625,0,0.0
2019-02-04,2724.8701171875,2609.7438037109373,2741.552801513672,0,0.0
2019-02-05,2737.699951171875,2611.6600048828127,2741.775651855469,0,0.0
2019-02-06,2731.610107421875,2613.2936083984373,2742.0830029296876,0,-0.0
2019-02-07,2706.050048828125,2614.763408203125,2742.261802978516,0,-0.0
2019-02-08,2707.8798828125,2615.4520068359375,2742.6284020996095,0,0.0
