Date,Actual_Close,Pred_Close,pred_ret,signal
2020-12-23,127.48329,122.20908,-0.048059475,-1
2020-12-24,128.46649,122.80528,-0.036695074,-1
2020-12-28,133.06122,123.4163,-0.03931137,-1
2020-12-29,131.2895,124.21067,-0.06651486,-1
2020-12-30,130.17003,124.96757,-0.04815265,-1
2020-12-31,129.16739,125.624535,-0.034919668,-1
2021-01-04,125.974464,126.15684,-0.023307364,-1
2021-01-05,127.53199,126.45694,0.003829945,0
2021-01-06,123.23907,126.700035,-0.0065235,0
2021-01-07,127.44435,126.7002,0.028084729,0
2021-01-08,128.54437,126.77364,-0.0052627497,0
2021-01-11,125.555855,126.91435,-0.012680603,0
2021-01-12,125.38066,126.943535,0.011052293,0
2021-01-13,127.41516,126.91487,0.012236418,0
2021-01-14,125.48775,126.94864,-0.0036614342,0
2021-01-15,123.76473,126.91888,0.011404536,0
2021-01-19,124.43641,126.785805,0.0244098,0
2021-01-20,128.5249,126.64054,0.017712919,0
2021-01-21,133.2364,126.67633,-0.014382985,0
2021-01-22,135.37804,127.00238,-0.046789195,-1
2021-01-25,139.12578,127.54575,-0.057854902,-1
2021-01-26,139.35945,128.33977,-0.077527046,-1
2021-01-27,138.28864,129.22742,-0.07270432,-1
2021-01-28,133.45056,130.07542,-0.0593918,-1
2021-01-29,128.45677,130.65279,-0.020964881,-1
2021-02-01,130.57892,130.85605,0.018677698,0
2021-02-02,131.40636,130.9638,0.0029475484,0
2021-02-03,130.38419,131.04161,-0.0027757112,0
2021-02-04,133.74263,131.04755,0.005087738,0
2021-02-05,133.32825,131.16606,-0.019265126,0
2021-02-08,133.47453,131.30609,-0.015166746,0
2021-02-09,132.59709,131.45798,-0.015108169,0
2021-02-10,131.99266,131.56944,-0.007750162,0
2021-02-11,131.73921,131.63081,-0.002741417,0
2021-02-12,131.97313,131.65367,-0.000649319,0
2021-02-16,129.84785,131.66591,-0.0023279015,0
2021-02-17,127.55683,131.57611,0.013309856,0
2021-02-18,126.45519,131.34209,0.029675052,0
2021-02-19,126.611145,131.00154,0.035952248,1
2021-02-22,122.83828,130.63034,0.031744406,1
2021-02-23,122.701805,130.08989,0.059033796,1
2021-02-24,122.204575,129.49136,0.05533381,1
2021-02-25,117.953995,128.8669,0.054517787,1
2021-02-26,118.21724,128.06734,0.08573972,1
2021-03-01,124.58337,127.238205,0.07630838,1
2021-03-02,121.98037,126.716194,0.017119683,0
2021-03-03,118.99715,126.2402,0.03492223,1
2021-03-04,117.11558,125.68671,0.056216136,1
2021-03-05,118.37318,125.04578,0.06771258,1
2021-03-08,113.440155,124.452705,0.051359005,1
2021-03-09,118.05146,123.68429,0.09030429,1
2021-03-10,116.96935,123.08516,0.04263987,1
2021-03-11,118.89964,122.537704,0.04760522,1
2021-03-12,117.99298,122.134926,0.027210198,0
2021-03-15,120.87871,121.781,0.03210375,1
2021-03-16,122.41907,121.605644,0.006013767,0
2021-03-17,121.62938,121.59526,-0.0067293993,0
2021-03-18,117.505554,121.63367,3.5252335e-05,0
2021-03-19,116.97909,121.51392,0.03411217,1
2021-03-22,120.29377,121.30839,0.03700918,1
2021-03-23,119.46509,121.22018,0.007701204,0
2021-03-24,117.07655,121.14821,0.014088809,0
2021-03-25,117.56403,120.98215,0.03335932,1
2021-03-26,118.16848,120.80498,0.027567478,0
2021-03-29,118.34396,120.65598,0.02105048,0
2021-03-30,116.89133,120.534355,0.018508688,0
2021-03-31,119.08487,120.36597,0.029725386,0
2021-04-01,119.913536,120.28618,0.010087841,0
2021-04-05,122.740776,120.28734,0.0031172642,0
2021-04-06,123.043,120.45801,-0.018598288,0
2021-04-07,124.690605,120.71534,-0.018917449,0
2021-04-08,127.088875,121.08221,-0.028938815,-1
2021-04-09,129.66263,121.595085,-0.043227937,-1
2021-04-12,127.94679,122.27101,-0.057006534,-1
2021-04-13,131.05673,122.91578,-0.03932114,-1
2021-04-14,128.71695,123.662224,-0.056422193,-1
2021-04-15,131.12498,124.31109,-0.034229066,-1
2021-04-16,130.79352,124.99484,-0.046750374,-1
2021-04-19,131.45645,125.64064,-0.039397042,-1
2021-04-20,129.76988,126.26576,-0.039486,-1
2021-04-21,130.15015,126.77129,-0.023106968,-1
2021-04-22,128.62926,127.21166,-0.022577647,-1
2021-04-23,130.9495,127.52583,-0.008578329,0
2021-04-26,131.3395,127.8662,-0.023545643,-1
2021-04-27,131.01775,128.21165,-0.02381491,-1
2021-04-28,130.22806,128.526,-0.019018378,0
